name,type,status,original_language,genres,origin_country,number_of_seasons,number_of_episodes,episode_run_time,vote_count,vote_average,popularity,first_air_date
Acapulco,Scripted,Returning Series,en,Comedy,MX,2,20,29,306,7.337,47.354,2021-10-08
The Twilight Zone,Scripted,Canceled,en,"Sci-Fi & Fantasy, Mystery, Drama",US,2,20,55,306,6.721,27.561,2019-04-01
Perfume,Scripted,Ended,de,Crime,DE,1,6,55,305,6.87,15.295,2018-11-14
The Big Show Show,Scripted,Canceled,en,"Comedy, Kids, Family",US,1,8,27,305,7.5,8.065,2020-04-06
Top Cat,Scripted,Ended,en,"Animation, Comedy, Kids",US,1,30,24,304,7.48,60.869,1961-09-27
Messiah,Scripted,Canceled,en,Drama,US,1,10,45,304,7.273,13.553,2020-01-01
Close Enough,Scripted,Canceled,en,"Comedy, Animation",US,3,46,11,304,8.087,24.963,2020-07-09
Police Squad!,Scripted,Ended,en,"Comedy, Crime",US,1,6,25,304,7.8,15.067,1982-03-04
Baki the Grappler,Scripted,Ended,ja,"Animation, Action & Adventure, Drama",JP,2,48,25,303,7.9,38.65,2001-01-08
Aladdin,Scripted,Ended,en,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy, Kids",US,3,86,22,302,6.921,145.817,1994-09-05
The Beatles: Get Back,Miniseries,Ended,en,Documentary,"NZ, US, GB",1,3,157,302,8.5,13.37,2021-11-25
Vampire Knight,Scripted,Ended,ja,"Animation, Drama, Action & Adventure, Sci-Fi & Fantasy, Mystery",JP,2,26,24,302,8.364,15.178,2008-04-08
Japan Sinks: 2020,Miniseries,Ended,ja,"Sci-Fi & Fantasy, Animation, Action & Adventure, Drama",JP,1,10,24,302,7.21,10.587,2020-07-09
He-Man and the Masters of the Universe,Scripted,Ended,en,"Animation, Action & Adventure, Sci-Fi & Fantasy",US,2,130,22,302,7.238,97.465,1983-09-05
The Boondocks,Scripted,Ended,en,"Action & Adventure, Comedy, Animation",US,4,55,22,301,8.1,31.345,2005-11-06
Mars,Scripted,Ended,en,"Documentary, Sci-Fi & Fantasy, Action & Adventure",US,2,12,50,301,7.003,15.29,2016-11-14
Penny Dreadful: City of Angels,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama, Crime, Mystery",US,1,10,60,301,6.9,20.29,2020-04-26
Elite Short Stories: Carla Samuel,Miniseries,Ended,es,Drama,ES,1,3,15,301,7.463,14.384,2021-06-17
Crime Scene: The Vanishing at the Cecil Hotel,Miniseries,Ended,en,"Documentary, Crime, Mystery",US,1,4,54,300,7.082,10.363,2021-02-10
Teenage Bounty Hunters,Scripted,Canceled,en,"Comedy, Drama",US,1,10,49,300,7.815,14.493,2020-08-14
La tormenta,Scripted,Ended,es,"Drama, Soap",CO,1,216,45,299,7.263,84.399,2005-09-19
Blue Spring Ride,Scripted,Ended,ja,"Animation, Comedy, Drama",JP,1,12,23,298,8.54,19.314,2014-07-08
Dan Brown's The Lost Symbol,Scripted,Canceled,en,"Action & Adventure, Drama, Mystery",US,1,10,47,298,7.455,24.013,2021-09-16
Magical Sempai,Scripted,Ended,ja,"Animation, Comedy",JP,1,12,15,298,8.362,28.22,2019-07-02
The Innocent,Miniseries,Ended,es,"Crime, Mystery, Drama",ES,1,8,60,298,7.71,14.092,2021-04-30
Moonlighting,Scripted,Ended,en,"Comedy, Drama, Mystery",US,5,66,46,298,7.5,31.212,1985-03-03
Mortal Kombat: Conquest,Scripted,Canceled,en,"Sci-Fi & Fantasy, Action & Adventure",US,1,22,44,298,6.951,34.488,1998-10-03
Digimon Tamers,Scripted,Ended,ja,"Sci-Fi & Fantasy, Animation, Action & Adventure",JP,1,51,25,297,8.588,19.389,2001-04-01
Elite Short Stories: Guzmán Caye Rebe,Miniseries,Ended,es,"Drama, Crime",ES,1,3,15,297,8.0,7.515,2021-06-14
Roseanne,Scripted,Canceled,en,Comedy,US,10,231,23,297,6.918,5.276,1988-10-18
The Three Sides of Ana,Scripted,Ended,es,"Soap, Drama",MX,1,123,45,297,7.074,116.64,2016-05-23
Pennyworth: The Origin of Batman's Butler,Scripted,Canceled,en,Drama,US,3,30,54,296,7.924,33.13,2019-07-28
Hyouka,Scripted,Ended,ja,"Animation, Drama, Mystery, Comedy",JP,1,22,26,295,8.183,19.236,2012-04-23
Law & Order: Criminal Intent,Scripted,Ended,en,Drama,US,10,195,42,295,7.6,227.237,2001-09-30
Top of the Lake,Scripted,Ended,en,"Crime, Drama, Mystery",US,2,13,45,295,7.141,13.988,2013-03-18
Villainous,Scripted,Ended,es,Animation,MX,2,18,11,295,8.6,10.522,2017-05-15
Avenue 5,Scripted,Canceled,en,"Comedy, Sci-Fi & Fantasy",US,2,17,30,295,6.546,20.704,2020-01-19
Flight of the Conchords,Scripted,Ended,en,Comedy,US,2,22,30,294,7.862,73.671,2007-06-17
Knightfall,Scripted,Canceled,en,"Action & Adventure, Drama",US,2,18,45,294,7.0,17.982,2017-12-06
The Secret Circle,Scripted,Canceled,en,"Drama, Sci-Fi & Fantasy",US,1,22,42,293,7.331,56.291,2011-09-15
Blood & Water,Scripted,Returning Series,en,Drama,ZA,3,19,48,293,7.906,7.839,2020-05-20
The Deuce,Scripted,Ended,en,"Drama, Crime",US,3,25,60,293,7.7,23.177,2017-09-10
The Bugs Bunny Show,Scripted,Ended,en,"Animation, Comedy",US,3,78,25,293,8.024,86.607,1960-10-11
I Am Georgina,Reality,Returning Series,es,Reality,ES,2,12,40,293,7.111,11.56,2022-01-27
The Tomorrow People,Scripted,Canceled,en,"Drama, Sci-Fi & Fantasy",US,1,22,60,293,7.009,82.981,2013-10-09
Queen Charlotte: A Bridgerton Story,Miniseries,Ended,en,Drama,US,1,6,60,293,8.177,36.697,2023-05-04
The Golden Girls,Scripted,Ended,en,Comedy,US,7,180,24,292,7.55,281.194,1985-09-14
The Goldbergs,Scripted,Ended,en,"Family, Comedy",US,10,229,22,292,7.7,64.057,2013-09-24
Lizzie McGuire,Scripted,Ended,en,Comedy,US,2,65,22,292,7.4,77.813,2001-01-12
"WATAMOTE ~No Matter How I Look at It, It's You Guys Fault I'm Not Popular!~",Scripted,Ended,ja,"Animation, Comedy, Drama",JP,1,12,24,292,8.3,11.713,2013-07-09
"Kiss Him, Not Me",Scripted,Ended,ja,"Animation, Comedy",JP,1,12,23,291,8.491,17.431,2016-10-07
Bloodline,Scripted,Ended,en,Drama,US,3,33,60,291,7.277,19.684,2015-03-20
31 Minutos,Scripted,Ended,es,"Comedy, Kids, Family",CL,4,68,30,290,8.531,12.536,2003-03-15
Katla,Scripted,Ended,is,"Drama, Mystery, Sci-Fi & Fantasy",IS,1,8,45,290,7.031,19.593,2021-06-17
Nisekoi,Scripted,Canceled,ja,"Animation, Comedy",JP,2,32,24,290,8.326,29.916,2014-01-11
Conversations with a Killer: The Ted Bundy Tapes,Miniseries,Ended,en,"Documentary, Crime",US,1,4,60,289,7.526,9.543,2019-01-24
According to Jim,Scripted,Canceled,en,Comedy,US,8,182,30,289,6.6,241.178,2001-10-03
Paradise PD,Scripted,Ended,en,"Comedy, Animation",US,4,40,28,289,7.379,21.552,2018-08-31
Zoids: Chaotic Century,Scripted,Ended,ja,"Action & Adventure, Animation, Comedy, Sci-Fi & Fantasy",JP,1,67,25,289,8.581,18.967,1999-09-04
The Blue Planet,Miniseries,Ended,en,Documentary,GB,1,8,50,289,8.324,22.989,2001-09-12
Private Practice,Scripted,Ended,en,Drama,US,6,111,42,288,7.686,66.55,2007-09-26
Robotech,Scripted,Ended,en,"Animation, Drama, Sci-Fi & Fantasy",US,3,85,25,288,8.5,12.441,1985-03-04
Down to Earth with Zac Efron,Documentary,Returning Series,en,Documentary,US,2,16,39,288,7.707,8.623,2020-07-10
The Dukes of Hazzard,Scripted,Ended,en,"Action & Adventure, Drama, Comedy",US,7,147,60,288,7.4,184.027,1979-01-26
Haunted,Reality,Ended,en,Documentary,US,3,18,25,288,7.0,12.19,2018-10-19
Jesus,Scripted,Ended,pt,Drama,BR,1,193,60,288,7.898,37.526,2018-07-24
The Irregulars,Scripted,Canceled,en,"Drama, Mystery, Sci-Fi & Fantasy",GB,1,8,53,288,7.396,10.486,2021-03-26
Doctors,Scripted,Ended,ko,"Drama, Comedy",KR,1,20,60,287,8.221,13.929,2016-06-20
Absentia,Scripted,Ended,en,"Crime, Drama, Mystery",US,3,30,44,286,7.484,25.126,2017-09-25
Gilmore Girls: A Year in the Life,Miniseries,Ended,en,"Drama, Comedy",US,1,4,90,286,7.332,13.533,2016-11-25
The Penguins of Madagascar,Scripted,Ended,en,"Animation, Comedy",US,3,149,11,286,7.423,298.469,2008-11-28
The Testament of Sister New Devil,Scripted,Ended,ja,"Animation, Sci-Fi & Fantasy, Action & Adventure, Comedy",JP,2,22,24,286,8.1,32.546,2015-01-07
Scooby-Doo and Scrappy-Doo,Scripted,Ended,en,"Animation, Mystery, Comedy, Family, Kids",US,4,115,30,286,7.5,200.679,1979-09-22
WWE Raw,Scripted,Returning Series,en,Reality,US,31,1599,130,285,6.6,114.636,1993-01-11
The Shining,Miniseries,Ended,en,"Sci-Fi & Fantasy, Drama",US,1,3,90,285,6.333,14.803,1997-04-27
Them,Scripted,Returning Series,en,"Drama, Mystery",US,1,10,43,284,7.618,10.86,2021-04-09
Kyle XY,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,3,43,44,284,7.046,25.333,2006-06-26
Away,Scripted,Canceled,en,"Sci-Fi & Fantasy, Drama",US,1,10,60,284,6.796,24.077,2020-09-04
Hitler: The Rise of Evil,Miniseries,Ended,en,"Drama, War & Politics",CA,1,2,88,284,7.136,15.613,2003-05-18
Whose Line Is It Anyway?,Scripted,Canceled,en,Comedy,US,8,219,22,284,7.787,366.359,1998-08-05
Joey,Scripted,Canceled,en,Comedy,US,2,46,22,283,6.353,71.025,2004-09-09
